Index,review_rating,review_title,Review Text
0,4,Great product,"Being an established brand ""Colgate"" best choice 😊"
1,5,Good product,As expected from Colgate
2,5,Refreshing,Very refreshing. Gives cool and fresh breath every morning.Highly recommended
3,3,Not so good flavour,Not so good
4,5,Best,Good
5,4,Good 👍,Good 👍
6,5,Exellent,Exellent
7,4,Good,Good
8,4,Good products,Good
9,4,"Charming, fresh up Paste",The item purchased by this time has paid it's price with authentic cleaning capabilities and charming feeling even after a long time. Better to try it. My suggestion to all valued customers.
10,4,Nice one,Good
11,4,Good to buy,Worth money spent
12,5,Colgate,Must hai dosto I'm always use this product
13,5,Shiny,Healthy
14,4,Good,Good product
15,5,Badiya,Badiya
16,4,Very refreshing taste,"Believe me it's amazing my kids lives this paste , have been using it for years now"
17,4,Har tooth ki shine ! Colgate 🥳,Acchha toothpaste hai ! Try krke dekho !!
18,4,refreshing indeed,"Review:Colgate MaxFresh toothpaste is my go-to alternative when I can't find my favorite, CloseUp Fire Freeze, online. While it's not my top choice, it comes in as a close second. The refreshing sensation it provides and the overall cleanliness it offers make it a reliable option. Compared to other toothpastes, it stands out as a better alternative. However, I must admit that it doesn't quite match the exceptional experience provided by CloseUp Fire Freeze. If you're unable to find your preferred toothpaste, Colgate MaxFresh is a solid option that delivers a refreshing and satisfying oral care experience."
19,4,Good product in cheaper price,"I must say go for it, always keep in mind whenever you purchase check everything small packing price also big packing price some time big packing price may be less then of small packing."
20,5,spicy,im using it for more than few years.i love it.
21,4,Awesome,Liked the product as well as packing
22,4,Good Flavor paste,"Good paste ,got set of 2 for Rs 130. Have used the red flavor previously , this is a bit less sweater in taste"
23,5,Nice,Nice
24,4,MOUTH FRESH,Budget valuble!!!
25,5,works well,super fresh breath and white teeth are guaranteed. liked it . will order again.
26,4,Nice product very useful good qualify,Nice product very useful good qualify
27,5,Very good,Nice color & Value for money
28,5,excellent,excellent
29,3,No Big Difference,"This toothpaste is no big difference than the normal one except it’s color and price. The price was a little bit higher than the ordinary one. Almost same like red,blue. If you like little purple shade, you can go with this."
30,5,Awesome deal,The media could not be loaded.Colgate is the best brand. Maxx fresh is different from others. So I always prefer it. Thanks Amazon for this deal ❤️
31,5,Paste that clean your tooth,Very nice and effective toothpaste with nice smell and taste.
32,5,GOOD,GOOD
33,5,Nice,It's a good product
34,5,Good 👍,Pasand hai
35,4,"Good but not up to the mark,try to improve try your best","Good but not up to the mark,try to improve try your best"
36,3,Ok product,Ok product
37,3,Good but rate 400 main 600 gram,[object Object]
38,5,Makes the teeth visibly white in actual,After trying it once i could not switch to any other toothpaste. Very good product
39,4,GOOD ONE,IT IS USEFUL & RESULT ORIENTED
40,5,Best toothpaste for teeth whitening,I have been using it since 1 year works amazing
41,5,TOOTH PASTE,A VERY GOOD PRODUCT
42,3,Good,Good
43,4,It works.,Taste is little different.
44,5,Colgate is a Very Good Teeth Whitener,"Colgate is an Age Old Brand, and we are Very Happy with its efficiency and cleaning capacity. Clinically Trusted Brand for all of us."
45,5,Toothpaste,Super..r..r.r.r.
46,4,Good,Value for money
47,4,Nice toothpaste,Price is suitable
48,4,Good product in cheaper price,"I must say go for it, always keep in mind whenever you purchase check everything small packing price also big packing price some time big packing price may be less then of small packing."
49,4,Good Colgate This Price 😀,कॉलगेट मस्त है एक दम अपका दांत एक दम बढ़िया रहेगा अगर तुम प्रतिदिन ब्रश करते हो तो बाकी आपकी मर्जी आपको कॉलगेट कही पर भी मिल जायेगा Try कर सकते हो हर चीज को Try करके देखना चाहिए ❤️
50,5,spicy,im using it for more than few years.i love it.
51,4,Awesome,Liked the product as well as packing
52,4,Good Flavor paste,"Good paste ,got set of 2 for Rs 130. Have used the red flavor previously , this is a bit less sweater in taste"
53,5,Nice,Nice
54,4,MOUTH FRESH,Budget valuble!!!
55,5,works well,super fresh breath and white teeth are guaranteed. liked it . will order again.
56,4,Nice product very useful good qualify,Nice product very useful good qualify
57,5,Very good,Nice color & Value for money
58,5,Good.,Affordable and reliable.
59,4,Great product,"Being an established brand ""Colgate"" best choice 😊"
60,5,Good product,As expected from Colgate
61,5,Refreshing,Very refreshing. Gives cool and fresh breath every morning.Highly recommended
62,3,Not so good flavour,Not so good
63,5,Best,Good
64,4,Good 👍,Good 👍
65,5,Exellent,Exellent
66,4,Good,Good
67,4,Good products,Good
68,5,excellent,excellent
69,3,No Big Difference,"This toothpaste is no big difference than the normal one except it’s color and price. The price was a little bit higher than the ordinary one. Almost same like red,blue. If you like little purple shade, you can go with this."
70,5,Awesome deal,The media could not be loaded.Colgate is the best brand. Maxx fresh is different from others. So I always prefer it. Thanks Amazon for this deal ❤️
71,5,Paste that clean your tooth,Very nice and effective toothpaste with nice smell and taste.
72,5,GOOD,GOOD
73,5,Nice,It's a good product
74,5,Good 👍,Pasand hai
75,4,"Good but not up to the mark,try to improve try your best","Good but not up to the mark,try to improve try your best"
76,3,Ok product,Ok product
77,3,Good but rate 400 main 600 gram,[object Object]
78,5,Good paste,Freshness and good oral hygiene
79,4,Cheap in sale,Quality is good with freshness but germs cleaning could have been better
80,5,Original colgate past,Quick delivery in scheduled time. In this price quantities is so good.
81,5,Good product,Good.
82,5,Good,Best to market price
83,4,Good as always,"It's good toothpaste, but i would suggest you to go for Colgate Sensitive. That contains less harmful chemicals than this one varient."
84,5,My favorite,It is good for cavity and effective.
85,3,normal,the toothpaste is just like another normal colgate toothpaste and don't have any specialty and doesn't remove any bad breaths
86,5,Satisfied,Good toothpaste
87,5,Faster delivery good product,Faster delivery good product
